id,date,mood,title,entry,image,sealUntil
8,2025-08-18,Calm,The light was the same,"The light came in sideways around five, the way it still does. I did not know I would need this page a year later. I only knew the paper looked older than it was.",,
16,2025-08-20,Calm,The same August light,"The light came in sideways around five, the way it still does. I did not know I would need this page a year later. I only knew the paper looked older than it was. Keep this for the next August morning.",,
1,2026-08-02,Calm,Started thinking about it,"Started thinking about the project properly, filling half a page with arrows that only make sense to me. A beginning is just permission to be bad at something for a while.",,
2,2026-08-05,Loved,Dinner on the balcony,"We ate outside because the kitchen was too warm and stayed there long after the food was gone. Someone laughed so hard the candle went out. I want to keep the sound of that, exactly that.",,
3,2026-08-08,Neutral,Worked on the project,"A slow, ordinary day of work on the project. Broke the hard part into four smaller parts and finished two of them. Ate dinner standing up, which I would like to stop doing.",,
4,2026-08-09,Sad,A letter I did not send,"I wrote three pages to someone who is not going to read them and then folded the pages into the back of this book. It helped more than I expected. Some things only need to be said, not delivered.",,
5,2026-08-12,Calm,"Rain, all afternoon","It rained from noon until dark. I made too much tea and read on the floor near the window because that is where the sound was best. Nothing happened, which I think was the point of the day.",,
6,2026-08-14,Excited,Project finally finished,"The project is finished and I keep opening it to look at it, the way you keep touching a tooth that stopped hurting. Two months of small evenings. I want to remember that the boring middle part was where all of it actually happened.",,
7,2026-08-16,Happy,Productive Sunday,"Today I finally cleared the desk. Not the whole room, just the desk, but it felt like moving a piece of furniture out of my chest. I wrote for an hour without checking anything. The light came in sideways around five and made the paper look older than it is.",,
9,2026-08-18,Loved,"Dear Diary,Today just felt good-want to","Dear Diary,Today just felt good-want to describe many things to you......Bye. <3",,
10,2026-08-18,Neutral,"Dear Diary,","Dear Diary,

Today just felt good-want to describe many things to you.
.
.
.
.
.
Bye. <3",,
11,2026-08-18,Loved,For whoever I become,"If you are reading this, a year has passed and you kept the page closed until it was time. I hope the days between were gentler than I feared. Light a candle. Read slowly.",,
13,2026-08-18,Loved,"Dear Diary,","Dear Diary,

I was so amazed today when i.....
.
.
.
.
.
Bye.<3",,
14,2026-08-19,Loved,I love yopuuuuu,I love yopuuuuu,,2027-08-20
15,2026-08-20,Excited,"Hii,","Hii,
.
>>
>
.
..
bye<3",,2026-08-21
